operating_period_id,line_factory_id,product_id,order_id,shift_id,machine_state_id,operator_id,work_order_status_id,timestamp,planned_qty,produced_qty,scrap_qty,cycle_time_s,oee,availability,performance,quality,maintenance_type_id,maintenance_due_date,vibration_mm_s,temperature_c,pressure_bar,energy_kwh
0,0,2,1711,1,1,14,3,2025-11-03T06:00:00.000+01:00,47,41,1,44.4,0.986,1.0,1.033,0.954,0,2025-11-05,1.814,40.02,6.36,11.31
1,2,2,562,1,3,9,2,2025-11-03T06:00:00.000+01:00,67,2,0,44.66,0.602,0.603,1.044,0.956,0,2025-11-17,1.188,30.46,5.11,4.144
2,1,2,1269,1,1,1,3,2025-11-03T06:00:00.000+01:00,59,58,3,28.64,0.939,1.0,1.002,0.937,3,2025-11-03,1.443,38.75,6.6,11.82
3,0,2,1193,1,1,3,3,2025-11-03T06:15:00.000+01:00,53,48,2,39.95,0.865,1.0,0.916,0.944,1,2025-11-04,2.168,43.31,6.53,12.208
4,2,2,1887,1,1,8,3,2025-11-03T06:15:00.000+01:00,63,57,3,38.02,1.0,1.0,1.066,0.941,0,2025-11-05,1.955,39.36,6.23,12.84
5,1,0,661,1,0,7,1,2025-11-03T06:15:00.000+01:00,61,6,0,25.81,0.555,0.762,0.744,0.979,0,2025-11-05,1.155,33.57,5.25,5.927
6,0,0,1496,1,1,6,3,2025-11-03T06:30:00.000+01:00,54,48,1,41.16,0.919,1.0,0.953,0.964,0,2025-11-10,2.205,37.15,6.34,12.892
7,2,1,172,1,1,6,3,2025-11-03T06:30:00.000+01:00,72,70,1,38.85,0.79,1.0,0.808,0.977,1,2025-11-06,1.772,36.99,6.36,11.386
8,1,2,1612,1,1,19,3,2025-11-03T06:30:00.000+01:00,51,48,0,37.19,0.884,1.0,0.901,0.981,1,2025-11-04,1.896,36.01,6.64,10.924
9,0,2,1286,1,1,5,3,2025-11-03T06:45:00.000+01:00,71,61,0,34.41,1.0,1.0,1.093,0.986,0,2025-11-04,2.217,36.66,6.65,11.757
10,2,0,924,1,1,3,0,2025-11-03T06:45:00.000+01:00,58,58,1,35.36,1.0,1.0,1.035,0.974,0,2025-11-06,2.271,37.46,6.25,12.422
11,1,2,952,1,3,15,2,2025-11-03T06:45:00.000+01:00,41,5,0,30.58,0.737,0.755,1.039,0.94,2,2025-11-10,1.109,32.3,5.48,4.285
12,0,0,831,1,1,19,0,2025-11-03T07:00:00.000+01:00,74,76,2,28.52,0.681,1.0,0.707,0.963,0,2025-11-10,1.555,34.13,6.36,11.985
13,2,2,1104,1,1,18,3,2025-11-03T07:00:00.000+01:00,61,54,2,40.9,0.866,1.0,0.901,0.962,1,2025-11-10,1.986,38.68,6.08,12.185
14,1,2,122,1,1,16,3,2025-11-03T07:00:00.000+01:00,67,60,2,36.06,0.886,1.0,0.929,0.953,1,2025-11-04,1.81,39.01,6.43,13.153
